iter	Logloss
0	0.6826751463
1	0.6700578505
2	0.6582418872
3	0.6491581086
4	0.638363992
5	0.6279235963
6	0.6169126572
7	0.607977098
8	0.5983989469
9	0.5907296827
10	0.5811293817
11	0.5716033443
12	0.5624868331
13	0.5543327947
14	0.5455233666
15	0.5380378846
16	0.530090209
17	0.5224280819
18	0.5150379673
19	0.5068178485
20	0.4993077555
21	0.4926938395
22	0.4856258208
23	0.4785298686
24	0.4721136708
25	0.4660759587
26	0.4597151664
27	0.4539643872
28	0.4479579926
29	0.4420171245
30	0.436507225
31	0.4299973826
32	0.4236565559
33	0.4182024925
34	0.4121601351
35	0.4087444428
36	0.4033198818
37	0.3987804228
38	0.3935129104
39	0.3888112653
40	0.3846725341
41	0.3804411119
42	0.37644737
43	0.3729846401
44	0.3689886524
45	0.3655889265
46	0.3622135347
47	0.3590173106
48	0.3554984677
49	0.3517523735
50	0.3499562971
51	0.3467984969
52	0.3433298603
53	0.3402278962
54	0.3370021082
55	0.3342072887
56	0.3312134589
57	0.3285317882
58	0.3259071842
59	0.3231581719
60	0.3201627731
61	0.3183741108
62	0.3159149231
63	0.3132073495
64	0.3111181567
65	0.3084428849
66	0.3063722734
67	0.3044844597
68	0.3022384336
69	0.2995365204
70	0.2972831111
71	0.2949124305
72	0.2932523604
73	0.2910265153
74	0.2890402886
75	0.2866632092
76	0.2854475821
77	0.2836699947
78	0.2817937174
79	0.280114943
80	0.2783960527
81	0.2761507342
82	0.2746722929
83	0.2736815791
84	0.2719701029
85	0.2708582724
86	0.2691397513
87	0.2675594822
88	0.2668311519
89	0.2655507365
90	0.2648007178
91	0.2632490589
92	0.2618486958
93	0.2602898382
94	0.2592731291
95	0.2576999664
96	0.2564175206
97	0.255155671
98	0.2537401876
99	0.2525726749
100	0.2513191623
101	0.2501798138
102	0.248894876
103	0.2478585551
104	0.2465062295
105	0.2454944272
106	0.2445273553
107	0.2433531669
108	0.2422638709
109	0.241193556
110	0.2405218001
111	0.2399919264
112	0.2390845514
113	0.2379922867
114	0.2375303238
115	0.2366867681
116	0.2358192936
117	0.2349778452
118	0.2343925199
119	0.2334696554
120	0.2328448142
121	0.2323774215
122	0.2315642449
123	0.2306667759
124	0.2299203565
125	0.2290716017
126	0.2282270001
127	0.2275435232
128	0.2266870929
129	0.226025366
130	0.2256203005
131	0.2248971385
132	0.2242964775
133	0.2239982236
134	0.2237336251
135	0.2228080842
136	0.2222859475
137	0.2215544639
138	0.2210141151
139	0.2205293717
140	0.2199566749
141	0.2191409911
142	0.2186877958
143	0.2180801207
144	0.2176243105
145	0.2173193655
146	0.2166799422
147	0.2163517091
148	0.215743311
149	0.21514668
150	0.2145142401
151	0.2139492035
152	0.2136593942
153	0.2131112468
154	0.2125910328
155	0.2119252605
156	0.2116003652
157	0.2111339877
158	0.2106472446
159	0.2100536439
160	0.2095534725
161	0.2091852773
162	0.2086655863
163	0.2081117015
164	0.2077777616
165	0.2071927901
166	0.2068865222
167	0.206371938
168	0.2060719613
169	0.2056381779
170	0.2050801246
171	0.204646049
172	0.2042826683
173	0.2036572887
174	0.2032806643
