iter	Passed	Remaining
0	3	3128
1	5	2609
2	9	3065
3	10	2717
4	13	2604
5	15	2495
6	17	2447
7	19	2390
8	21	2343
9	24	2465
10	27	2443
11	29	2413
12	31	2384
13	33	2353
14	35	2332
15	37	2305
16	41	2394
17	43	2398
18	46	2385
19	48	2364
20	50	2347
21	52	2330
22	55	2345
23	58	2363
24	60	2352
25	62	2338
26	64	2320
27	66	2307
28	68	2295
29	71	2327
30	74	2333
31	76	2324
32	78	2308
33	80	2296
34	82	2286
35	84	2274
36	88	2310
37	90	2297
38	92	2284
39	94	2272
40	96	2261
41	98	2248
42	100	2236
43	103	2245
44	109	2324
45	111	2319
46	113	2307
47	115	2294
48	118	2293
49	122	2320
50	125	2331
51	128	2334
52	131	2347
53	135	2371
54	138	2376
55	142	2395
56	145	2399
57	147	2400
58	151	2422
59	154	2427
60	158	2437
61	160	2434
62	163	2434
63	166	2440
64	170	2455
65	173	2452
66	175	2446
67	178	2441
68	180	2437
69	185	2470
70	188	2467
71	191	2465
72	193	2459
73	196	2454
74	201	2486
75	204	2490
76	207	2485
77	209	2479
78	212	2476
79	216	2491
80	220	2497
81	222	2495
82	225	2490
83	227	2485
84	232	2506
85	236	2517
86	239	2514
87	243	2520
88	247	2533
89	251	2541
90	254	2544
91	257	2538
92	259	2531
93	264	2548
94	267	2546
95	269	2540
96	272	2534
97	274	2527
98	278	2533
99	281	2530
100	283	2521
101	285	2510
102	287	2499
103	288	2489
104	290	2478
105	293	2474
106	296	2476
107	298	2466
108	300	2457
109	302	2446
110	304	2436
111	306	2426
112	308	2421
113	311	2422
114	313	2410
115	315	2400
116	316	2392
117	318	2382
118	320	2373
119	322	2364
120	324	2360
121	327	2359
122	330	2356
123	332	2348
124	334	2339
125	336	2331
126	337	2323
127	340	2317
128	343	2318
129	345	2312
130	347	2304
131	349	2296
132	351	2289
133	353	2281
134	354	2270
135	356	2265
136	359	2263
137	361	2255
138	363	2248
139	364	2241
140	366	2234
141	368	2227
142	370	2219
143	373	2218
144	375	2213
145	377	2207
146	379	2201
147	381	2194
148	383	2187
149	384	2181
150	386	2174
151	389	2175
152	391	2170
153	394	2165
154	395	2158
155	397	2152
156	399	2145
157	401	2139
158	404	2138
159	407	2141
160	410	2137
161	412	2131
162	413	2125
163	415	2120
164	417	2113
165	420	2110
166	423	2111
167	425	2109
168	428	2109
169	431	2105
170	433	2101
171	436	2099
172	438	2098
173	440	2092
174	442	2087
175	444	2082
176	446	2076
177	448	2070
178	450	2065
179	453	2066
180	455	2062
181	457	2056
182	459	2051
183	461	2045
184	463	2040
185	465	2035
186	466	2029
187	470	2030
188	472	2025
189	474	2020
190	475	2015
191	477	2010
192	479	2005
193	481	2000
194	484	2001
195	486	1997
196	488	1992
197	490	1987
198	492	1982
199	494	1977
200	496	1972
201	498	1967
202	501	1969
203	503	1965
204	505	1961
205	507	1956
206	509	1951
207	511	1946
208	513	1941
209	515	1939
210	518	1939
211	520	1936
212	523	1934
213	525	1931
214	528	1928
215	531	1927
216	534	1928
217	537	1927
218	539	1925
219	542	1922
220	544	1920
221	548	1922
222	551	1920
223	553	1918
224	556	1916
225	558	1913
226	561	1910
227	565	1915
228	568	1913
229	570	1910
230	573	1908
231	576	1906
232	579	1908
233	582	1906
234	584	1904
235	587	1902
236	590	1900
237	592	1897
238	596	1900
239	599	1898
240	602	1896
241	604	1893
242	607	1891
243	610	1890
244	614	1892
245	616	1890
246	619	1889
247	622	1887
248	625	1885
249	629	1889
250	632	1888
251	635	1885
252	637	1883
253	640	1880
254	644	1882
255	647	1880
256	649	1878
257	651	1875
258	654	1871
259	656	1868
260	660	1870
261	663	1867
262	665	1864
263	667	1860
264	669	1856
265	671	1852
266	673	1847
267	676	1847
268	678	1843
269	680	1839
270	682	1834
271	683	1830
272	685	1826
273	687	1822
274	690	1819
275	693	1818
276	695	1814
277	697	1811
278	699	1806
279	701	1802
280	702	1798
281	704	1794
282	708	1794
283	710	1791
284	712	1788
285	715	1785
286	716	1781
287	718	1777
288	720	1772
289	723	1771
290	726	1769
291	728	1766
292	730	1762
293	732	1759
294	734	1755
295	736	1751
296	739	1749
297	741	1747
298	743	1743
299	745	1739
300	747	1735
301	749	1731
302	751	1727
303	753	1724
304	756	1724
305	758	1720
306	760	1716
307	762	1712
308	764	1708
309	766	1705
310	767	1701
311	770	1699
312	773	1697
313	775	1693
314	777	1689
315	778	1685
316	780	1682
317	782	1678
318	784	1675
319	788	1674
320	789	1671
321	791	1667
322	793	1663
323	795	1659
324	797	1656
325	799	1652
326	801	1648
327	804	1647
328	806	1644
329	808	1640
330	810	1637
331	811	1633
332	813	1629
333	815	1626
334	817	1623
335	821	1624
336	824	1622
337	827	1619
338	829	1616
339	831	1613
340	832	1609
341	836	1609
342	838	1606
343	841	1603
344	843	1600
345	845	1597
346	846	1593
347	848	1590
348	852	1589
349	854	1586
350	856	1583
351	858	1579
352	859	1576
353	861	1572
354	863	1568
355	865	1565
356	868	1565
357	870	1561
358	872	1558
359	874	1555
360	876	1551
361	878	1548
362	880	1544
363	884	1545
364	886	1542
365	888	1538
366	890	1535
367	891	1531
368	893	1528
369	895	1525
370	898	1523
371	900	1520
372	902	1517
373	904	1514
374	906	1510
375	908	1507
376	910	1504
377	912	1500
378	915	1500
379	917	1496
380	919	1493
381	921	1490
382	922	1486
383	924	1483
384	926	1479
385	928	1476
386	931	1476
387	934	1473
388	936	1470
389	938	1467
390	940	1464
391	942	1461
392	943	1457
393	945	1454
394	948	1453
395	950	1450
396	952	1447
397	954	1443
398	956	1440
399	958	1437
400	960	1434
401	964	1434
402	966	1431
403	968	1428
404	970	1425
405	972	1422
406	973	1419
407	975	1415
408	979	1414
409	981	1412
410	983	1408
411	985	1406
412	987	1403
413	988	1399
414	990	1396
415	993	1394
416	996	1393
417	999	1391
418	1001	1389
419	1004	1386
420	1006	1384
421	1009	1382
422	1013	1381
423	1015	1379
424	1018	1377
425	1020	1375
426	1023	1372
427	1026	1371
428	1029	1369
429	1031	1367
430	1034	1365
431	1036	1362
432	1038	1360
433	1042	1359
434	1045	1357
435	1048	1355
436	1050	1353
437	1053	1351
438	1057	1350
439	1060	1349
440	1062	1347
441	1065	1345
442	1067	1342
443	1070	1340
444	1074	1339
445	1077	1337
446	1079	1335
447	1082	1333
448	1084	1331
449	1087	1328
450	1091	1328
451	1093	1326
452	1096	1323
453	1098	1321
454	1101	1319
455	1103	1316
456	1106	1315
457	1109	1313
458	1112	1310
459	1114	1308
460	1117	1306
461	1120	1305
462	1123	1303
463	1126	1301
464	1128	1298
465	1131	1296
466	1133	1294
467	1137	1293
468	1140	1291
469	1143	1289
470	1146	1287
471	1147	1284
472	1149	1281
473	1153	1280
474	1155	1277
475	1157	1274
476	1159	1271
477	1161	1268
478	1163	1265
479	1165	1262
480	1167	1259
481	1170	1257
482	1172	1255
483	1175	1253
484	1178	1251
485	1179	1247
486	1181	1244
487	1185	1244
488	1188	1241
489	1190	1238
490	1192	1235
491	1194	1232
492	1195	1229
493	1197	1226
494	1201	1225
495	1203	1223
496	1205	1220
497	1207	1217
498	1209	1214
499	1211	1211
500	1213	1208
501	1215	1206
502	1219	1205
503	1222	1203
504	1224	1200
505	1226	1197
506	1227	1194
507	1229	1191
508	1233	1189
509	1235	1186
510	1237	1183
511	1239	1180
512	1240	1178
513	1242	1175
514	1244	1172
515	1247	1169
516	1250	1167
517	1252	1165
518	1254	1162
519	1256	1159
520	1258	1156
521	1260	1153
522	1262	1151
523	1265	1149
524	1267	1146
525	1269	1144
526	1271	1141
527	1273	1138
528	1275	1135
529	1277	1132
530	1280	1131
531	1282	1128
532	1285	1126
533	1287	1123
534	1289	1120
535	1291	1118
536	1293	1115
537	1297	1113
538	1299	1111
539	1301	1108
540	1303	1105
541	1305	1102
542	1306	1099
543	1308	1097
544	1312	1096
545	1315	1093
546	1317	1090
547	1319	1087
548	1320	1085
549	1322	1082
550	1324	1079
551	1327	1077
552	1330	1075
