gender,race_ethnicity,level_of_education,language_proficiency,training_manuals,hr_interview_score,x_ray_module_assessment_score,etd_module_assessment_score,phy_module_assessment_score,dg_module_assessment_score,tsa_test_score,cbp_test_score,Certification_exam_Outcome
male,group A,high school,fluent,none,63,74,63,69,66,63,62,FAIL
female,group E,some college,intermediate,provided,83,95,83,89,89,88,85,PASS
male,group A,some college,fluent,none,46,58,46,52,47,43,43,FAIL
female,group E,some college,fluent,provided,71,83,71,77,76,74,73,PASS
male,group E,some college,fluent,none,68,80,68,74,72,72,65,PASS
male,group B,high school,fluent,none,57,68,57,63,59,55,54,FAIL
female,group E,some college,intermediate,provided,50,62,50,56,56,55,54,FAIL
female,group D,some high school,fluent,none,59,70,59,65,62,58,59,FAIL
male,group C,high school,fluent,none,68,80,68,74,71,67,67,PASS
male,group C,some college,fluent,provided,91,100,91,97,92,86,90,PASS
female,group C,high school,fluent,provided,97,100,97,100,102,100,99,PASS
female,group E,high school,intermediate,provided,97,100,97,100,102,100,100,PASS
female,group B,high school,fluent,provided,83,95,83,89,88,82,89,PASS
female,group C,some college,intermediate,none,82,94,82,88,88,83,88,PASS
male,group B,some high school,fluent,none,69,80,69,75,71,68,67,PASS
male,group B,high school,intermediate,none,71,83,71,77,76,77,70,PASS
female,group D,high school,intermediate,none,71,83,71,77,77,73,78,FAIL
female,group D,,intermediate,,53,65,53,59,59,56,57,FAIL
male,group D,high school,fluent,none,48,60,48,54,54,52,51,FAIL
female,group C,some college,fluent,provided,80,85,75,81,79,72,76,PASS
female,group D,some high school,fluent,none,80,92,80,86,86,86,82,PASS
female,group D,high school,fluent,none,67,79,67,73,73,70,73,FAIL
female,group B,associate's degree,intermediate,provided,86,98,86,92,92,94,87,PASS
female,group B,some high school,fluent,none,79,92,79,85,87,89,82,PASS
male,group D,high school,intermediate,provided,69,80,69,75,71,68,66,PASS
female,group D,some college,fluent,none,86,98,86,92,92,90,89,PASS
male,group C,high school,intermediate,none,47,59,47,53,53,56,47,FAIL
female,group B,high school,intermediate,none,81,93,81,87,86,85,82,PASS
male,group A,some college,intermediate,none,58,70,58,64,62,60,57,FAIL
female,group D,some high school,fluent,none,81,93,81,87,87,84,85,PASS
female,group D,high school,fluent,none,80,91,80,86,84,81,80,PASS
female,group E,some college,fluent,none,73,85,73,79,78,76,75,PASS
male,group A,high school,intermediate,none,66,78,66,72,71,72,65,FAIL
male,group B,some college,intermediate,provided,76,87,76,82,80,77,76,PASS
female,group C,some high school,fluent,none,56,68,56,62,62,63,56,FAIL
male,group C,high school,intermediate,none,55,66,55,61,57,53,52,FAIL
female,group D,some college,fluent,none,49,64,49,55,69,74,74,FAIL
male,group D,some college,fluent,none,82,94,82,88,86,82,84,PASS
